,출근출발_EE,출근출발_EH,출근출발_EW,출근출발_HE,출근출발_HH,출근출발_HW,출근출발_WE,출근출발_WH,출근출발_WW,출근도착_EE,출근도착_EH,출근도착_EW,출근도착_HE,출근도착_HH,출근도착_HW,출근도착_WE,출근도착_WH,출근도착_WW,퇴근출발_EE,퇴근출발_EH,퇴근출발_EW,퇴근출발_HE,퇴근출발_HH,퇴근출발_HW,퇴근출발_WE,퇴근출발_WH,퇴근출발_WW,퇴근도착_EE,퇴근도착_EH,퇴근도착_EW,퇴근도착_HE,퇴근도착_HH,퇴근도착_HW,퇴근도착_WE,퇴근도착_WH,퇴근도착_WW,읍면동
238,3999,2342,1630,20944,1538,74679,1393,1806,1734,3206,2693,1240,16569,1143,32803,1441,1642,1430,8853,14800,1902,15816,2295,4357,5954,19147,2409,9302,30231,3013,7096,3048,2166,5176,43116,2756,신대방1동
239,5537,11042,3630,21896,2264,94040,2330,3681,2788,8241,2604,4041,59638,2419,141156,3905,2034,3415,24578,59193,6428,19444,4389,5542,24502,83204,8486,19625,35619,4112,27545,4535,5010,13492,55798,4004,신대방2동
240,4464,2203,3960,27198,1242,116325,2186,1497,3114,3882,2989,2729,19527,1174,77957,1858,1521,2167,26246,43338,5064,23121,3334,5899,13367,49190,4062,30880,41521,4806,23341,3208,4801,33365,73212,5603,신도림동
241,5949,4511,5105,23687,2000,137491,1596,1778,2365,5019,3218,1993,22176,2184,41229,1997,2169,1486,27354,46293,5608,21513,5676,6782,6856,28475,3482,33476,32436,4571,31989,4504,8487,28209,87292,7198,신림동
242,3143,1772,1314,34492,1661,120992,1211,703,1435,2356,3994,1300,10947,1662,24405,986,2755,956,10486,20511,2256,23932,3595,7114,4828,17408,2116,13085,50128,3668,11463,3372,3549,6586,70707,3223,신사1동
243,2047,1745,1257,16815,907,56075,1055,875,892,1685,2201,1063,9734,1171,31555,576,1636,1006,5845,10767,1355,13572,1617,4027,3736,13408,1953,6092,27146,2166,6089,1945,2088,2958,33300,1574,신사2동
244,11253,6258,7852,39203,1983,143445,5291,4376,5261,12218,5071,8141,52428,2071,224925,5212,2757,4732,89367,99154,17967,33091,4256,8942,45587,126725,11367,94953,59911,15535,67440,4386,16678,79098,84398,17314,신사동
245,3503,1444,1780,24945,1846,87479,1801,1352,1762,2832,3529,2018,12959,1280,47789,1257,1681,1597,13654,22970,2944,22716,3302,5696,9540,28738,3283,14572,38437,4618,13696,3511,5476,7918,51283,4182,신수동
246,2349,846,1116,17131,1226,75658,717,447,756,1696,2244,822,7044,1012,17490,520,1528,754,6726,9729,1340,13382,2118,4474,2710,11265,1627,7671,24360,1865,5478,3314,1909,4104,43346,1996,신원동
247,2723,1402,1261,21066,1126,61400,1213,646,1266,2185,3054,1225,7054,842,20327,935,1708,733,7387,14003,2013,13858,1936,4154,3790,15426,1896,9218,27218,2885,6921,2425,2099,4069,35981,2423,신월1동
248,1678,897,753,14907,827,47599,766,456,886,1331,2184,917,5705,822,13526,532,1391,857,4895,11401,1187,10272,2030,3012,2550,10760,1309,5280,19436,1859,4433,1756,1669,2180,26739,1741,신월2동
249,1808,907,758,9908,452,29137,789,550,573,1488,1516,1215,8340,553,31144,689,999,820,4546,7817,1165,7337,810,2075,3386,15101,1477,4792,15145,1699,3687,869,927,2654,17437,1196,신월3동
250,1151,580,392,10663,445,34623,655,384,469,1041,1529,469,4857,538,11537,467,702,438,3694,7832,945,8614,1288,2095,1824,8253,789,4643,14512,1277,4955,1146,1275,2382,20512,1174,신월4동
251,1405,786,574,13017,646,42873,591,332,581,1220,1497,652,5643,654,24632,513,933,667,4681,8764,1233,10945,1469,2597,2755,10714,1147,5036,20392,1317,4298,1674,1245,2368,25898,1002,신월5동
252,1040,886,674,4734,334,13679,466,413,626,1144,704,652,6718,527,14533,585,519,558,3538,9028,966,3361,1246,1015,2113,8220,906,3869,6152,1167,4381,824,1365,2134,8569,1078,신월6동
253,3140,3931,1908,18596,718,56668,1286,1052,1153,2065,1939,1414,11907,860,23573,1051,1286,1024,7268,17097,2252,11272,1345,2947,3773,15688,1276,8263,23967,2616,9676,1268,2104,4496,33750,2411,신월7동
