,출근출발_EE,출근출발_EH,출근출발_EW,출근출발_HE,출근출발_HH,출근출발_HW,출근출발_WE,출근출발_WH,출근출발_WW,출근도착_EE,출근도착_EH,출근도착_EW,출근도착_HE,출근도착_HH,출근도착_HW,출근도착_WE,출근도착_WH,출근도착_WW,퇴근출발_EE,퇴근출발_EH,퇴근출발_EW,퇴근출발_HE,퇴근출발_HH,퇴근출발_HW,퇴근출발_WE,퇴근출발_WH,퇴근출발_WW,퇴근도착_EE,퇴근도착_EH,퇴근도착_EW,퇴근도착_HE,퇴근도착_HH,퇴근도착_HW,퇴근도착_WE,퇴근도착_WH,퇴근도착_WW,읍면동
291,1950,994,987,13624,1152,48581,859,928,1134,1284,1710,982,6947,901,21107,537,989,771,5571,8872,992,10822,1904,2688,3081,12528,1525,5804,22212,1594,4152,2814,1556,2453,30418,1789,왕십리2동
292,5672,3712,4128,29125,1848,115872,2394,2641,2716,5104,2668,3598,29455,2079,112260,2780,1983,2768,30671,48903,6754,24670,4794,7059,15925,69006,6111,32294,48416,7301,26051,3862,7580,22743,79101,6611,왕십리도선동
293,4515,2354,2785,20310,1415,75303,1800,2231,2137,4253,2425,2935,22786,1804,103527,1872,1283,2522,22172,34089,4162,16678,2579,3915,16912,63408,5340,26612,33961,4878,22123,2836,5230,21945,48594,4550,용강동
294,4564,2281,3207,14238,1278,58486,1988,1735,1941,3674,1563,2157,13161,982,54275,1663,1551,1641,12059,20137,3261,11811,1850,4921,9512,40799,4139,11444,22524,3648,8930,2078,2640,6764,37376,3109,용답동
295,1695,880,700,15218,1016,48130,522,383,744,1492,1663,670,5153,598,13622,427,877,669,5480,9941,1025,11861,2002,2915,2341,9791,1086,6479,24213,1312,4870,2447,1463,2773,29570,1741,용문동
296,1547,736,919,12562,336,42102,692,587,684,1505,2015,1260,6892,485,26071,662,931,796,9358,8542,1086,10597,820,2567,4309,13576,1299,10191,20832,1642,6042,818,1354,4194,28808,1152,용산2가동
297,8206,5011,5867,27477,2020,104014,4451,3284,4670,8398,2901,5627,46431,2088,198047,4437,2339,4672,32842,70257,10131,22457,3431,7665,28030,140767,10068,30147,43761,9543,22742,3355,8477,22091,68095,8464,용신동
298,3275,3550,1130,20731,936,63112,1069,1253,657,3207,2418,1360,18995,691,27768,1253,1292,831,14649,32800,2952,14165,1369,3908,4562,18689,1839,12946,34066,2524,11995,2133,2697,5494,36636,1761,우이동
299,3875,2853,2662,24992,1419,87979,1553,1886,2867,3822,3436,1871,22916,1184,39878,1581,1969,2143,19175,40231,4056,20460,3107,5607,6186,26355,3431,19352,40093,3518,21469,3716,5415,11867,54832,5352,우장산동
300,3939,1864,2414,18455,1186,69340,1698,1442,1780,3421,2020,2558,14263,942,83728,1474,888,1986,16556,22900,3668,15790,2085,3167,13570,56022,5550,18899,28132,4175,12783,2460,3401,11572,43358,4152,원효로1동
301,2451,826,1191,18387,1101,62267,1063,1194,1334,2075,2239,1979,8661,955,45839,821,1346,1269,8562,10436,1709,16086,1597,3110,9197,30493,2528,7230,32109,2177,4094,2140,1376,3207,38505,1986,원효로2동
302,4112,2462,2608,22145,991,68072,1681,1569,2058,3690,2630,2060,20350,1144,39014,1642,2139,1389,16263,29768,3340,16566,2367,4750,6603,25447,2183,17413,36539,3573,15382,1905,4499,9488,45633,3560,월계1동
303,2524,1437,1129,22824,796,67093,1394,803,1029,2434,2314,1684,13067,802,32218,849,1683,1029,8320,14359,1556,16062,1151,4551,4991,18759,1787,7581,37461,2709,6284,1304,2051,2858,42303,1885,월계2동
