어린이집명,운영현황,주소,행정동,위도,경도
동부해맑은어린이집,정상,서울특별시 강서구 남부순환로 11 103동 101호(공항동,공항동,37.56111186,126.8081653
단향어린이집,정상,서울특별시 강서구 초록마을로 156-3,화곡8동,37.53646768,126.8471123
리틀현대아이어린이집,정상,서울특별시 강서구 강서로 348 118동 103호(내발산동,우장산동,37.55707841,126.8380811
아름드리어린이집,정상,서울특별시 강서구 까치산로4라길 20 (화곡동),화곡본동,37.53898569,126.8457162
해피엔젤어린이집,재개,서울특별시 강서구 까치산로12길 59,화곡본동,37.54285851,126.8488207
나무와숲어린이집,정상,서울특별시 강서구 양천로14길 37 102동 108호,방화2동,37.57156558,126.8102972
아이큰숲자연학교어린이집,재개,서울특별시 강서구 초록마을로21길 37 아이큰숲자연학교,화곡본동,37.54094334,126.8532464
아장아장어린이집,정상,서울특별시 강서구 방화대로47가길 22 404동 103호(방화동,방화3동,37.57709885,126.8139782
더조은영재어린이집,정상,서울특별시 강서구 방화대로34길 88 102동 103호(방화동,방화1동,37.57038093,126.8211936
꼬마별어린이집,정상,서울특별시 강서구 방화대로44길 42 101동 103호(방화동,방화1동,37.57135761,126.8175428
사랑맘어린이집,정상,서울특별시 강서구 방화대로34길 88 107동 104호(방화동,방화1동,37.57038093,126.8211936
오즈의마법사어린이집,정상,서울특별시 강서구 수명로1길 16 412동 1층(내발산동,발산1동,37.55204782,126.8225609
마곡사임당어린이집,정상,서울특별시 강서구 수명로2길 105 마곡수명산파크5단지 509동 관리동 마곡사임당어린이집,발산1동,37.55158665,126.8275827
꿈이있는어린이집,정상,서울특별시 강서구 공항대로59길 64 202동 106호(등촌동,등촌1동,37.55462322,126.8641847
해송어린이집,정상,서울특별시 강서구 강서로18바길 9 골든리치빌102호 (화곡동),화곡8동,37.53548127,126.849781
해사랑어린이집,정상,서울특별시 강서구 강서로47길 158 203동 1층(내발산동,발산1동,37.55385797,126.8276418
다해영재어린이집,정상,서울특별시 강서구 강서로 266 우장산대림e편한세상파크 관리동 다해영재어린이집,우장산동,37.54826258,126.8409806
우일몬테소리어린이집,휴지,서울특별시 강서구 곰달래로49길 89 (화곡동),화곡2동,37.53511788,126.8556193
코코베베어린이집,정상,서울특별시 강서구 양천로75길 57 104동 102호(염창동,염창동,37.55331418,126.8748906
동그라미어린이집,정상,서울특별시 강서구 강서로 266 117동 102호(화곡동,우장산동,37.54826258,126.8409806
파란하늘빛어린이집,정상,서울특별시 강서구 양천로47길 94 101동 105호(마곡동,가양1동,37.57444181,126.8372073
새서원어린이집,정상,서울특별시 강서구 화곡로24길 55 (화곡동),화곡1동,37.53861876,126.8394676
해울어린이집,정상,서울특별시 강서구 양천로 595 금호타운아파트 상가 1층 (염창동),염창동,37.5560552,126.8653078
수명산어린이집,정상,서울특별시 강서구 강서로47길 108 마곡수명산파크 1단지 보육시설,발산1동,37.55356537,126.8305342
마곡 행복한i어린이집,정상,서울특별시 강서구 수명로2길 63 마곡수명산파크602동 관리동,발산1동,37.54987533,126.8258219
한결어린이집,정상,서울특별시 강서구 강서로 266 111동 103호(화곡동,우장산동,37.54826258,126.8409806
아기새어린이집,정상,서울특별시 강서구 양천로6길 57 102동 106호(방화동,방화2동,37.56965202,126.8078287
아이랑어린이집,정상,서울특별시 강서구 양천로3길 17 101동 106호(방화동,방화1동,37.57336423,126.8064083
e-다솔어린이집,정상,서울특별시 강서구 강서로45나길 15 101동 101호(내발산동,발산1동,37.54871001,126.8351963
아이삭어린이집,정상,서울특별시 강서구 강서로47길 108 106동 101호(내발산동,발산1동,37.55356537,126.8305342
꿈사랑어린이집,정상,서울특별시 강서구 강서로47길 108 104동 101호(내발산동,발산1동,37.55356537,126.8305342
미소담어린이집,정상,서울특별시 강서구 곰달래로18길 33-13 1층 (화곡동),화곡1동,37.52879202,126.8422167
쁘띠아미 에꼴 어린이집,정상,서울특별시 강서구 곰달래로53길 133 (화곡동),화곡4동,37.53670539,126.8555805
지니어스 발산 어린이집,휴지,서울특별시 강서구 수명로2길 108 마곡수명산파크8단지802동관리동내,발산1동,37.55117388,126.8289293
유창어린이집,정상,서울특별시 강서구 우장산로2길 21-22 101동 103호(내발산동,우장산동,37.5534688,126.8387179
썬에듀스쿨어린이집,정상,서울특별시 강서구 곰달래로15길 32 (화곡동),화곡1동,37.53166489,126.8397003
레드로빈어린이집,정상,서울특별시 강서구 공항대로67길 29-12 세왕네스트빌 102호 레드로빈어린이집 (염창동),염창동,37.54993101,126.8696279
발산 빅스맘 어린이집,정상,서울특별시 강서구 우장산로2길 57 (내발산동),우장산동,37.5522644,126.8371807
토란어린이집,정상,서울특별시 강서구 방화대로34길 113 101동 105호(방화동,방화1동,37.57221258,126.8219194
혜시의사과나무어린이집,정상,서울특별시 강서구 강서로45길 37 (화곡동),화곡3동,37.54780505,126.8341023
열매어린이집,정상,서울특별시 강서구 강서로35길 47-5 (화곡3동 1047-6) 허벌빌 101호,화곡3동,37.54240404,126.8363808
숲속나라어린이집,정상,서울특별시 강서구 까치산로4길 64-6 (화곡동),화곡본동,37.54026625,126.8458328
해아띠스쿨어린이집,정상,서울특별시 강서구 초록마을로6길 37-13,화곡본동,37.54081527,126.8469033
포도원어린이집,정상,서울특별시 강서구 금낭화로23길 8 110동 103호(방화동,방화3동,37.5794087,126.8125928
수성어린이집,정상,서울특별시 강서구 가로공원로84길 27 (화곡동),화곡1동,37.53634114,126.8408768
조은어린이집,정상,서울특별시 강서구 양천로6길 28 1206동 101호(방화동,방화2동,37.57102749,126.8063998
자연숲예뜰어린이집,정상,서울특별시 강서구 가로공원로84길 42 (화곡동),화곡1동,37.53574649,126.840948
엄마사랑어린이집,정상,서울특별시 강서구 금낭화로23길 8 101동 106호(방화동,방화3동,37.5794087,126.8125928
배광 어린이집,정상,서울특별시 강서구 등촌로 101 (등촌동),등촌2동,37.53901616,126.8632782
대림어린이집,정상,서울특별시 강서구 공항대로39길 100 105동 103호(등촌동,등촌3동,37.56361691,126.8473931
화동교회방과후어린이집,정상,서울특별시 강서구 곰달래로 200 (화곡동),화곡2동,37.53109749,126.8552993
별강서어린이집,정상,서울특별시 강서구 까치산로22길 10 (화곡동),화곡6동,37.54892093,126.8514915
아이뜰어린이집,정상,서울특별시 강서구 강서로17가길 14 나동 101호(화곡동,화곡1동,37.53382373,126.8446536
강서구청어린이집,정상,서울특별시 강서구 화곡로44나길 72 1층,화곡6동,37.54977567,126.8509647
현대i어린이집,정상,서울특별시 강서구 강서로 348 우장산 힐스테이트 관리동 1층,우장산동,37.55707841,126.8380811
예쁜어린이집,휴지,서울특별시 강서구 초록마을로 31 (화곡동),화곡본동,37.54305925,126.8469301
자연어린이집,정상,서울특별시 강서구 방화대로 259 101동 104호(공항동,공항동,37.56355494,126.8152481
새빛어린이집,정상,서울특별시 강서구 화곡로18길 14-41 1층 새빛어린이집,화곡1동,37.53964544,126.8355955
사랑가정어린이집,휴지,서울특별시 강서구 화곡로53가길 26 상아빌라102호 (화곡동),화곡6동,37.55050875,126.8471089
명지어린이집,정상,서울특별시 강서구 등촌로13아길 44 101동 106호(화곡동,화곡4동,37.53694169,126.8563657
단꿈어린이집,정상,서울특별시 강서구 양천로47길 118 104동 101호 (마곡동,가양1동,37.57564019,126.8368535
해다미어린이집,정상,서울특별시 강서구 곰달래로35길 13 (화곡동),화곡2동,37.53164619,126.8533924
숲으로 가는 어린이집,정상,서울특별시 강서구 양천로69길 18 101동 111호(염창동,염창동,37.55247236,126.8714342
아이파크어린이집,정상,서울특별시 강서구 등촌로 163 203동 103호(등촌동,등촌2동,37.54472977,126.8615933
사랑둥이어린이집,정상,서울특별시 강서구 강서로 348 111동 101호(내발산동,우장산동,37.55707841,126.8380811
나무와열매어린이집,정상,서울특별시 강서구 방화대로48길 40 방화2단지아파트(방화동),방화3동,37.57425563,126.8201679
현대키즈어린이집,정상,서울특별시 강서구 양천로75길 19 107동 104호(염창동,염창동,37.55181162,126.8740724
동산어린이집,정상,서울특별시 강서구 양천로75길 44 (염창동),염창동,37.55153551,126.8755553
동광어린이집,정상,서울특별시 강서구 양천로75길 57 104동 110호(염창동 288,염창동,37.55331418,126.8748906
하얀마음어린이집,정상,서울특별시 강서구 초록마을로14길 24 (화곡동),화곡본동,37.54137561,126.8491479
